Code,Year,TOTAL,CO2,CH4,N2O,GVA,ITL1
E06000050,2017,3297.395538,2648.88915,536.0296431,112.4767455,12582,TLD
E06000050,2018,2968.873916,2349.279319,511.3387957,108.2558014,12732,TLD
E06000050,2019,3154.517626,2462.807468,578.8446883,112.86547,12932,TLD
E06000050,2020,3310.856857,2404.198192,797.1531074,109.5055578,11384,TLD
E06000050,2021,2931.235293,2176.816506,649.1791796,105.2396073,12635,TLD
E06000050,2022,2192.75464,1660.10573,434.7536456,97.8952645,12894,TLD
E06000050,2023,2505.470028,1719.729428,690.8657462,94.87485416,13128,TLD
E06000063,2015,2123.504865,1079.837703,834.3640725,209.3030891,7508,TLD
E06000063,2016,1874.976587,845.2458399,825.6077886,204.1229585,7205,TLD
E06000063,2017,1895.287327,833.5051328,856.6375154,205.1446786,6973,TLD
E06000063,2018,1862.967281,811.6815385,847.1350783,204.1506643,6922,TLD
E06000063,2019,1821.317958,796.3909075,820.5130202,204.4140308,6921,TLD
E06000063,2020,1770.813842,756.1987898,807.3870363,207.2280162,5853,TLD
E06000063,2021,1771.223701,776.4193401,802.2043596,192.6000016,6084,TLD
E06000063,2022,1725.700762,693.6043725,842.2894717,189.806918,6700,TLD
E06000063,2023,1688.141673,641.028822,827.2535536,219.8592973,6715,TLD
E06000064,2015,2512.664976,1444.924401,878.1659082,189.5746667,6176,TLD
E06000064,2016,2369.603296,1315.509323,863.8296032,190.2643698,6083,TLD
E06000064,2017,2297.24306,1227.322475,880.2110422,189.7095422,6314,TLD
E06000064,2018,2256.749338,1218.101014,844.3594794,194.2888447,6375,TLD
E06000064,2019,2160.317677,1132.500889,839.4847325,188.3320555,6808,TLD
E06000064,2020,2094.815526,1047.845165,856.558779,190.4115818,6252,TLD
E06000064,2021,2165.316681,1161.723087,822.222253,181.3713419,6702,TLD
E06000064,2022,2069.73856,1081.684847,796.8606111,191.1931011,7036,TLD
E06000064,2023,2019.047516,1030.033145,797.4695704,191.5448008,7136,TLD
E06000006,2015,648.5021965,556.9142689,77.99699426,13.5909334,4296,TLD
E06000006,2016,522.3869177,445.3510031,63.36155701,13.6743576,4208,TLD
E06000006,2017,507.9024353,423.0390069,69.73028566,15.1331428,4341,TLD
E06000006,2018,491.9456126,425.9722048,52.86052974,13.11287811,4572,TLD
E06000006,2019,416.1027529,366.7414966,40.77046195,8.590794348,4722,TLD
E06000006,2020,403.084117,351.4042502,43.60673215,8.073134731,4185,TLD
E06000006,2021,428.8776804,386.7874268,33.64577079,8.444482726,4560,TLD
E06000006,2022,373.278881,341.0026655,24.60023187,7.675983617,4670,TLD
E06000006,2023,393.5747787,322.4901435,63.69253417,7.392100946,4774,TLD
E08000011,2015,561.8605095,464.0951818,84.03108441,13.7342433,3961,TLD
E08000011,2016,556.758621,428.9631965,112.8773605,14.91806398,4026,TLD
E08000011,2017,443.795504,367.3222425,61.92759328,14.54566823,4249,TLD
E08000011,2018,421.08359,366.6854768,40.5036425,13.8944707,4041,TLD
E08000011,2019,387.1501088,334.217831,36.98011121,15.95216656,4115,TLD
E08000011,2020,352.6202679,304.2897577,32.72096092,15.60954933,3602,TLD
E08000011,2021,424.7984176,364.8790713,44.79867336,15.12067298,4171,TLD
E08000011,2022,386.9724266,320.3818673,52.29629808,14.29426125,4163,TLD
E08000011,2023,375.285479,309.1041963,50.76724402,15.41403872,4211,TLD
E07000117,2015,239.1938119,186.2325351,46.10657472,6.854702076,2133,TLD
E07000117,2016,230.2365246,168.2220222,54.86123301,7.153269377,2218,TLD
E07000117,2017,228.4334611,157.7113304,63.6694204,7.052710235,2290,TLD
E07000117,2018,226.1393352,156.8058838,62.03196786,7.301483537,2399,TLD
E07000117,2019,234.4530814,174.5675422,52.86644657,7.019092615,2306,TLD
E07000117,2020,206.7526093,149.7382812,49.94181238,7.072515707,2037,TLD
E07000117,2021,212.8374274,156.2069058,49.33762277,7.292898846,2261,TLD
E07000117,2022,213.5918126,148.7670753,58.20106912,6.623668151,2342,TLD
E07000117,2023,196.3970919,131.7221351,58.36197449,6.312982369,2177,TLD
E07000118,2015,381.2511352,269.078195,90.91132386,21.2616164,2140,TLD
E07000118,2016,379.9873724,265.1360371,93.91086631,20.94046897,2225,TLD
E07000118,2017,378.1522142,255.3327443,102.2509092,20.56856074,2223,TLD
E07000118,2018,377.0055097,255.2552119,100.9867449,20.76355296,2255,TLD
E07000118,2019,360.555824,251.1978062,89.11365277,20.2443651,2460,TLD
E07000118,2020,337.8471474,231.3873413,86.51372724,19.94607882,2133,TLD
